Edad,Fecha de nacimiento,Sexo,Lugar de residencia,Composición del hogar,Grado de consanguinidad,Número de personas con quienes vive,Profesión de los padres,Nivel escolar,Rendimiento académico promedio,Antecedentes de maltrato familiar o escolar,Participa en actividades extracurriculares,Usa redes sociales activamente,Contactó de forma inapropiada en redes,Involucrado en otros incidentes de agresión,Conocía a la víctima,Antecedentes penales o disciplinarios,Trastorno psicológico o adicción,Atención psicológica previa,Se siente arrepentido,Reconoce que su comportamiento fue incorrecto,Premeditado o impulsivo,Violencia física o amenazas,Actuó solo o con otras personas,Edad inicio consumo pornográfico,Contenido violento o explícito en material
4,2022-08-29,Masculino,West Eric,Extendida,Padres,5,Profesor,Secundaria,4,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Premeditado,Sí,Con otras personas,8,No
11,2012-08-28,Femenino,Mullenhaven,Nuclear,Abuelos,3,Empresario,Universitario,4,No,No,Sí,No,Sí,No,No,No,No,No,No,Premeditado,No,Con otras personas,8,No
14,2008-06-03,Femenino,North Brianberg,Extendida,Abuelos,3,Empresario,Universitario,9,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,No,No,Impulsivo,Sí,Solo,12,Sí
1,2008-10-25,Femenino,West Cynthia,Nuclear,Hermanos,4,Desempleado,Secundaria,4,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Premeditado,Sí,Con otras personas,6,Sí
3,2011-03-11,Femenino,East Mark,Extendida,Otros familiares,4,Desempleado,Universitario,1,Sí,No,No,No,Sí,No,Sí,No,No,Sí,No,Premeditado,Sí,Con otras personas,12,No
10,2013-03-30,Otro,Hernandezport,Nuclear,Hermanos,7,Empresario,Técnico,5,Sí,No,Sí,No,No,No,Sí,No,Sí,No,No,Premeditado,No,Solo,10,Sí
10,2021-11-12,Otro,Paulside,Extendida,Otros familiares,4,Obrero,Primaria,3,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Premeditado,No,Con otras personas,6,Sí
12,2010-08-08,Otro,West Jackson,Monoparental,Abuelos,3,Empresario,Técnico,8,No,Sí,No,Sí,No,No,Sí,No,No,No,No,Impulsivo,No,Solo,6,Sí
9,2015-08-14,Femenino,West Sydneybury,Nuclear,Hermanos,7,Obrero,Secundaria,2,No,Sí,No,No,No,No,No,Sí,No,No,Sí,Impulsivo,Sí,Con otras personas,7,Sí
16,2006-10-01,Femenino,West Susan,Nuclear,Hermanos,7,Obrero,Universitario,6,Sí,No,No,Sí,No,No,Sí,No,No,No,No,Premeditado,Sí,Solo,13,No
14,2007-05-24,Femenino,North Jeffrey,Extendida,Otros familiares,1,Obrero,Secundaria,5,Sí,No,Sí,No,No,Sí,Sí,No,No,Sí,Sí,Premeditado,No,Con otras personas,13,Sí
12,2011-12-20,Femenino,South Elizabethview,Monoparental,Padres,2,Profesor,Universitario,5,Sí,Sí,Sí,No,Sí,No,No,No,No,No,Sí,Premeditado,No,Solo,6,No
17,2011-09-21,Femenino,North Vanessaville,Extendida,Hermanos,7,Profesor,Secundaria,1,No,Sí,No,Sí,No,No,Sí,No,No,No,Sí,Premeditado,No,Solo,12,No
14,2008-09-03,Masculino,South Geraldhaven,Extendida,Tios,5,Empresario,Primaria,9,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,No,Premeditado,Sí,Solo,8,No
10,2012-03-06,Masculino,Maryfort,Monoparental,Hermanos,4,Desempleado,Técnico,2,No,Sí,No,Sí,No,Sí,No,Sí,No,No,Sí,Premeditado,No,Solo,9,No
6,2011-12-04,Otro,Bettyside,Extendida,Tios,7,Obrero,Primaria,5,No,No,No,No,Sí,Sí,Sí,No,No,No,Sí,Impulsivo,No,Con otras personas,14,No
10,2013-02-07,Otro,New Janice,Monoparental,Abuelos,2,Profesor,Primaria,3,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,Impulsivo,No,Con otras personas,6,No
5,2008-04-23,Otro,East Cynthiachester,Extendida,Abuelos,1,Profesor,Secundaria,5,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Premeditado,No,Con otras personas,6,No
7,2015-08-28,Masculino,Makaylabury,Monoparental,Tios,3,Profesor,Primaria,1,No,No,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,Premeditado,Sí,Solo,6,No
16,2017-07-04,Masculino,South Tonyamouth,Monoparental,Tios,4,Empleado público,Universitario,2,No,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,Sí,Premeditado,No,Con otras personas,9,No
9,2022-05-05,Otro,Mccannburgh,Extendida,Padres,6,Empleado público,Universitario,3,No,Sí,No,Sí,No,Sí,No,Sí,No,No,No,Premeditado,Sí,Solo,9,No
12,2006-06-23,Masculino,North Carlahaven,Extendida,Abuelos,4,Empresario,Técnico,1,Sí,No,Sí,No,Sí,No,No,Sí,No,Sí,Sí,Premeditado,Sí,Solo,8,Sí
1,2018-03-23,Femenino,Glenhaven,Nuclear,Tios,6,Desempleado,Primaria,7,Sí,No,No,Sí,No,Sí,No,Sí,No,Sí,Sí,Premeditado,Sí,Con otras personas,13,Sí
1,2020-08-16,Femenino,Davenportburgh,Extendida,Otros familiares,6,Empleado público,Primaria,6,No,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,Premeditado,No,Con otras personas,7,No
13,2015-09-15,Otro,North Bradleyville,Extendida,Tios,4,Empleado público,Secundaria,5,Sí,No,Sí,Sí,No,Sí,No,Sí,No,No,Sí,Impulsivo,Sí,Con otras personas,9,Sí
9,2007-10-17,Femenino,Richardchester,Monoparental,Abuelos,6,Empleado público,Secundaria,8,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,Sí,Premeditado,Sí,Solo,11,No
17,2006-07-29,Otro,Burgessport,Extendida,Abuelos,5,Obrero,Secundaria,5,Sí,Sí,No,Sí,Sí,No,No,No,No,No,No,Premeditado,No,Con otras personas,13,No
16,2016-09-09,Otro,South Nicolemouth,Nuclear,Hermanos,4,Profesional,Técnico,6,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,No,Sí,Premeditado,No,Con otras personas,13,Sí
7,2018-07-02,Otro,Kimberlyhaven,Monoparental,Otros familiares,4,Obrero,Secundaria,9,No,Sí,No,No,No,No,Sí,Sí,No,No,Sí,Impulsivo,Sí,Con otras personas,14,Sí
8,2017-09-29,Masculino,Lake Benjaminfort,Monoparental,Tios,6,Desempleado,Técnico,2,No,No,No,No,No,No,No,No,No,No,No,Impulsivo,No,Con otras personas,13,No
17,2008-07-17,Otro,Erinstad,Monoparental,Abuelos,2,Profesional,Técnico,5,No,No,No,No,No,No,No,Sí,Sí,Sí,No,Impulsivo,No,Solo,10,No
15,2016-11-29,Masculino,Lake Erica,Monoparental,Hermanos,6,Desempleado,Universitario,4,No,No,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Impulsivo,Sí,Con otras personas,7,No
17,2020-04-20,Masculino,Lake Robertberg,Monoparental,Hermanos,7,Obrero,Secundaria,9,Sí,Sí,Sí,No,No,No,No,Sí,Sí,No,No,Premeditado,No,Con otras personas,9,No
7,2023-01-03,Femenino,East Sarah,Monoparental,Padres,1,Empleado público,Primaria,2,No,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Premeditado,Sí,Solo,11,Sí
2,2020-12-16,Femenino,West Josephview,Monoparental,Tios,3,Empresario,Secundaria,7,No,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Impulsivo,Sí,Con otras personas,8,No
5,2015-11-20,Masculino,Stevensbury,Nuclear,Tios,3,Desempleado,Secundaria,5,No,No,Sí,No,No,No,Sí,Sí,No,Sí,No,Impulsivo,No,Solo,7,Sí
8,2011-06-13,Masculino,Gibsonborough,Monoparental,Tios,1,Desempleado,Secundaria,6,Sí,Sí,Sí,No,No,Sí,Sí,No,No,Sí,Sí,Premeditado,Sí,Solo,7,Sí
4,2017-02-02,Masculino,West Jennifer,Nuclear,Abuelos,4,Profesional,Técnico,2,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Premeditado,No,Con otras personas,12,Sí
7,2018-01-01,Masculino,Port Abigail,Monoparental,Otros familiares,3,Desempleado,Primaria,2,Sí,No,No,No,No,No,No,No,No,Sí,Sí,Impulsivo,No,Con otras personas,13,Sí
15,2011-08-25,Masculino,East Brentton,Monoparental,Otros familiares,3,Profesor,Técnico,5,Sí,Sí,No,No,No,No,No,Sí,Sí,No,Sí,Impulsivo,Sí,Solo,12,No
12,2008-03-18,Otro,Port Alexanderburgh,Nuclear,Otros familiares,3,Profesor,Secundaria,1,No,Sí,Sí,No,No,Sí,No,Sí,Sí,No,No,Impulsivo,Sí,Con otras personas,12,Sí
7,2017-05-24,Femenino,North Pamela,Monoparental,Otros familiares,4,Desempleado,Primaria,9,No,No,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Premeditado,No,Con otras personas,10,No
17,2015-08-28,Otro,Lake Angelaport,Monoparental,Tios,3,Profesional,Primaria,8,Sí,Sí,No,Sí,Sí,No,Sí,No,No,No,Sí,Impulsivo,No,Solo,8,Sí
12,2016-07-01,Femenino,Maryfort,Nuclear,Abuelos,4,Desempleado,Universitario,5,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Premeditado,No,Solo,6,Sí
16,2019-05-09,Femenino,Johnsonhaven,Monoparental,Hermanos,1,Profesor,Técnico,1,No,Sí,No,Sí,No,Sí,No,Sí,No,Sí,Sí,Premeditado,Sí,Solo,14,Sí
6,2020-12-29,Femenino,East Bruceview,Monoparental,Otros familiares,2,Desempleado,Primaria,1,Sí,No,No,Sí,No,Sí,Sí,Sí,No,Sí,No,Impulsivo,Sí,Con otras personas,8,No
9,2014-03-12,Otro,New Jessica,Extendida,Hermanos,7,Empresario,Técnico,9,No,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Premeditado,No,Con otras personas,14,No
17,2018-08-26,Femenino,North Mary,Nuclear,Padres,3,Obrero,Primaria,9,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,Impulsivo,Sí,Con otras personas,8,Sí
8,2014-12-01,Otro,Lake Davidberg,Monoparental,Hermanos,3,Obrero,Secundaria,8,Sí,Sí,No,No,No,No,Sí,No,Sí,No,Sí,Premeditado,No,Solo,11,Sí
8,2013-09-25,Femenino,New Edgar,Nuclear,Abuelos,2,Obrero,Técnico,5,No,Sí,No,No,Sí,No,Sí,No,Sí,Sí,No,Premeditado,Sí,Solo,11,No
14,2014-05-30,Femenino,Port Lisaport,Nuclear,Otros familiares,7,Profesional,Técnico,1,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,Impulsivo,No,Con otras personas,9,No
12,2018-02-02,Femenino,Port Jason,Extendida,Hermanos,1,Empleado público,Primaria,8,No,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Premeditado,Sí,Con otras personas,11,No
9,2009-02-11,Otro,West Michelle,Monoparental,Otros familiares,6,Empresario,Universitario,6,Sí,Sí,No,Sí,No,Sí,No,No,No,No,No,Impulsivo,Sí,Solo,9,No
14,2018-03-21,Otro,North Aaron,Extendida,Otros familiares,2,Desempleado,Secundaria,7,No,No,Sí,No,Sí,Sí,Sí,No,Sí,No,No,Premeditado,No,Con otras personas,7,No
2,2011-09-14,Masculino,Jonestown,Extendida,Hermanos,2,Profesor,Universitario,7,No,Sí,Sí,No,Sí,Sí,No,No,No,Sí,Sí,Impulsivo,No,Solo,10,Sí
7,2014-10-19,Femenino,Lake Stevenburgh,Monoparental,Abuelos,4,Desempleado,Secundaria,9,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,No,Sí,Impulsivo,Sí,Solo,9,No
1,2023-05-05,Masculino,Lake Marvin,Nuclear,Hermanos,5,Profesional,Universitario,7,No,No,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Impulsivo,No,Con otras personas,7,No
12,2019-12-19,Masculino,New Gabriel,Nuclear,Otros familiares,6,Profesor,Primaria,5,No,No,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Premeditado,No,Solo,9,No
15,2020-01-16,Masculino,Brittanyton,Monoparental,Abuelos,2,Empleado público,Secundaria,4,No,No,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,Impulsivo,Sí,Solo,12,No
11,2009-10-23,Otro,West Stephanie,Nuclear,Tios,2,Profesional,Universitario,9,No,No,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Premeditado,Sí,Solo,8,Sí
9,2020-08-18,Masculino,East Valerieberg,Extendida,Hermanos,1,Profesional,Secundaria,1,No,No,No,No,No,Sí,Sí,No,No,No,No,Premeditado,No,Con otras personas,10,No
11,2020-11-29,Masculino,Lake John,Extendida,Hermanos,7,Profesional,Universitario,6,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Premeditado,No,Solo,11,No
1,2020-01-10,Femenino,Coryfurt,Monoparental,Tios,5,Desempleado,Técnico,3,Sí,No,Sí,Sí,Sí,No,No,No,No,Sí,No,Impulsivo,No,Solo,13,Sí
9,2011-12-17,Otro,Patelfort,Monoparental,Tios,7,Profesor,Primaria,8,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Premeditado,No,Con otras personas,11,No
1,2010-02-10,Masculino,Christopherchester,Monoparental,Otros familiares,1,Profesor,Técnico,1,No,No,No,No,Sí,No,No,Sí,No,No,Sí,Impulsivo,Sí,Con otras personas,7,No
10,2013-02-07,Otro,Kellyview,Monoparental,Tios,1,Profesional,Secundaria,3,No,No,Sí,No,Sí,No,Sí,No,Sí,Sí,No,Premeditado,Sí,Solo,10,No
5,2012-09-25,Otro,Matthewville,Nuclear,Hermanos,5,Empleado público,Técnico,4,Sí,No,No,Sí,No,Sí,No,No,No,No,Sí,Impulsivo,No,Con otras personas,12,Sí
17,2007-01-28,Otro,Markmouth,Monoparental,Hermanos,1,Obrero,Universitario,8,No,Sí,No,Sí,Sí,Sí,No,Sí,No,No,Sí,Impulsivo,No,Solo,13,No
6,2012-01-27,Masculino,North Ashley,Extendida,Padres,5,Desempleado,Universitario,5,No,No,No,Sí,Sí,No,Sí,No,No,Sí,Sí,Premeditado,Sí,Con otras personas,10,Sí
2,2005-12-24,Masculino,West Robert,Monoparental,Padres,7,Empleado público,Primaria,8,Sí,No,No,No,Sí,No,No,Sí,No,No,No,Impulsivo,Sí,Solo,14,Sí
12,2018-01-30,Femenino,New Andreaton,Nuclear,Hermanos,1,Obrero,Secundaria,5,Sí,Sí,No,Sí,No,No,No,Sí,Sí,No,No,Impulsivo,No,Con otras personas,9,No
14,2020-01-15,Masculino,New Kevinstad,Monoparental,Abuelos,1,Obrero,Primaria,6,Sí,No,Sí,Sí,No,No,No,No,No,Sí,Sí,Premeditado,No,Con otras personas,8,Sí
8,2010-12-21,Masculino,Jonathanside,Nuclear,Tios,4,Obrero,Técnico,2,Sí,Sí,No,Sí,No,No,Sí,No,No,Sí,Sí,Premeditado,Sí,Con otras personas,12,Sí
9,2023-08-07,Masculino,Port Craig,Monoparental,Hermanos,7,Empleado público,Secundaria,9,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,Premeditado,No,Solo,13,No
3,2012-08-22,Otro,Lake Clinton,Nuclear,Abuelos,7,Profesor,Primaria,7,No,No,Sí,No,No,No,Sí,No,Sí,No,No,Premeditado,Sí,Con otras personas,11,Sí
4,2014-10-17,Masculino,Brendachester,Nuclear,Tios,2,Profesional,Universitario,8,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,No,No,Impulsivo,Sí,Con otras personas,14,Sí
7,2016-08-25,Masculino,Port Rachel,Monoparental,Otros familiares,3,Profesor,Secundaria,1,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Premeditado,Sí,Con otras personas,8,Sí
4,2009-10-02,Otro,Thompsonberg,Nuclear,Otros familiares,2,Obrero,Técnico,9,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,No,Sí,Impulsivo,Sí,Solo,7,Sí
8,2019-01-13,Masculino,Lake Kaitlyn,Monoparental,Otros familiares,3,Obrero,Primaria,7,No,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Premeditado,No,Solo,8,Sí
2,2017-02-11,Otro,Andersonstad,Extendida,Tios,3,Profesional,Universitario,9,Sí,No,No,No,No,No,Sí,No,No,Sí,No,Impulsivo,No,Solo,13,Sí
6,2021-09-24,Otro,Mccoyberg,Nuclear,Otros familiares,5,Profesor,Secundaria,2,No,No,Sí,No,Sí,No,Sí,No,Sí,No,Sí,Premeditado,Sí,Con otras personas,12,No
4,2019-09-21,Femenino,Port John,Monoparental,Tios,6,Profesional,Técnico,5,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Impulsivo,No,Solo,8,Sí
14,2023-09-22,Otro,Gallowayborough,Extendida,Abuelos,2,Profesor,Secundaria,9,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,Sí,Impulsivo,Sí,Solo,10,No
14,2018-08-17,Femenino,Aaronmouth,Monoparental,Abuelos,1,Profesional,Secundaria,2,Sí,Sí,No,No,No,No,Sí,No,No,No,No,Premeditado,Sí,Con otras personas,9,Sí
2,2021-07-12,Masculino,Lake Abigailchester,Nuclear,Hermanos,6,Profesional,Técnico,6,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Impulsivo,No,Con otras personas,10,No
12,2006-09-02,Otro,Morrisborough,Nuclear,Otros familiares,3,Empleado público,Técnico,5,Sí,Sí,No,Sí,No,No,No,Sí,No,Sí,Sí,Premeditado,Sí,Con otras personas,9,Sí
8,2010-09-06,Otro,Nancychester,Nuclear,Tios,5,Profesional,Universitario,9,No,No,No,Sí,No,Sí,No,No,No,No,No,Impulsivo,Sí,Solo,6,No
8,2010-06-06,Otro,West Mary,Monoparental,Padres,1,Profesor,Primaria,6,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Premeditado,No,Con otras personas,12,No
1,2019-05-23,Otro,New Gregory,Monoparental,Hermanos,4,Profesional,Primaria,5,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,Premeditado,No,Solo,9,No
9,2018-02-26,Femenino,South Megan,Extendida,Tios,6,Empleado público,Secundaria,7,Sí,Sí,No,Sí,No,Sí,No,No,No,Sí,No,Premeditado,No,Con otras personas,10,Sí
16,2013-05-18,Masculino,Port Mark,Extendida,Otros familiares,6,Empleado público,Técnico,4,Sí,No,Sí,No,No,No,No,No,No,Sí,Sí,Impulsivo,Sí,Con otras personas,7,Sí
2,2021-09-06,Femenino,Garciatown,Monoparental,Abuelos,3,Desempleado,Secundaria,8,No,Sí,No,No,No,No,No,Sí,No,Sí,No,Impulsivo,No,Con otras personas,10,Sí
15,2006-06-10,Masculino,Andrewfurt,Monoparental,Otros familiares,4,Empresario,Primaria,3,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Premeditado,No,Con otras personas,10,No
9,2013-05-20,Femenino,Lake Lisamouth,Nuclear,Otros familiares,4,Desempleado,Primaria,3,Sí,No,Sí,Sí,No,Sí,Sí,No,Sí,Sí,No,Impulsivo,Sí,Solo,10,No
11,2014-07-19,Masculino,Mccormickland,Nuclear,Padres,5,Obrero,Universitario,4,Sí,No,No,Sí,No,No,No,No,Sí,Sí,Sí,Premeditado,No,Con otras personas,8,Sí
1,2009-05-06,Masculino,Port Connie,Monoparental,Padres,1,Empleado público,Universitario,6,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Premeditado,Sí,Solo,10,Sí
17,2016-08-27,Masculino,South Larry,Nuclear,Abuelos,1,Profesional,Secundaria,1,Sí,Sí,No,No,Sí,No,No,Sí,No,No,No,Impulsivo,Sí,Solo,8,No
11,2014-08-01,Masculino,Christinafurt,Extendida,Hermanos,5,Profesional,Universitario,8,Sí,No,No,No,No,Sí,No,Sí,No,Sí,No,Impulsivo,No,Solo,11,Sí
10,2016-03-29,Otro,New Marilynville,Nuclear,Padres,4,Profesional,Secundaria,8,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,Premeditado,Sí,Con otras personas,9,Sí
2,2021-04-10,Femenino,New Veronica,Nuclear,Hermanos,2,Empresario,Técnico,2,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Premeditado,Sí,Solo,11,No
7,2016-12-16,Femenino,Valdezchester,Extendida,Padres,2,Profesional,Secundaria,7,Sí,No,No,No,Sí,No,Sí,No,No,No,No,Impulsivo,Sí,Solo,7,No
9,2013-06-19,Femenino,Lake Laurafort,Extendida,Hermanos,2,Obrero,Secundaria,6,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,Impulsivo,Sí,Solo,7,Sí
1,2014-04-19,Masculino,East Reneehaven,Nuclear,Abuelos,3,Obrero,Primaria,2,Sí,Sí,No,No,Sí,No,No,Sí,No,No,No,Premeditado,Sí,Con otras personas,6,Sí
6,2013-09-04,Otro,New Thomas,Nuclear,Hermanos,5,Profesional,Secundaria,2,No,Sí,No,Sí,No,No,No,Sí,No,Sí,Sí,Premeditado,No,Solo,9,No
8,2019-08-31,Otro,Levyshire,Monoparental,Abuelos,1,Empresario,Secundaria,1,No,No,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,Premeditado,No,Con otras personas,7,Sí
17,2019-12-06,Masculino,New Robertside,Nuclear,Otros familiares,3,Obrero,Primaria,4,No,Sí,Sí,No,No,No,Sí,Sí,Sí,No,Sí,Impulsivo,No,Solo,7,No
11,2022-03-11,Femenino,North Christinabury,Monoparental,Abuelos,3,Empleado público,Técnico,4,No,Sí,No,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Impulsivo,Sí,Con otras personas,8,No
7,2007-03-16,Femenino,Simsville,Monoparental,Hermanos,2,Empleado público,Técnico,9,Sí,Sí,Sí,No,Sí,No,Sí,No,No,No,No,Impulsivo,Sí,Con otras personas,9,Sí
8,2013-06-29,Otro,Georgehaven,Extendida,Padres,2,Profesor,Secundaria,8,Sí,Sí,Sí,No,Sí,No,No,Sí,No,No,Sí,Impulsivo,No,Con otras personas,7,No
